Key	Korean	English
Pipeline.PublishAll	전체 반영	Publish all
Pipeline.Menu.AddStepAfter	선택 Step 뒤에 추가	Add Step After...
Pipeline.Menu.InsertStepBefore	선택 Step 앞에 삽입	Insert Step Before...
Pipeline.Menu.AcceptancePreset	판정 조건 Preset	Acceptance Preset
Pipeline.Menu.ClearAcceptance	판정 조건 해제	Clear Acceptance
Pipeline.Menu.UsePreviousOutput	이전 출력으로 입력 연결	Use Previous Output as Input
Pipeline.Menu.UsePreviousOutputWithLayer	이전 출력으로 입력 연결 ({0})	Use Previous Output as Input ({0})
Pipeline.Menu.CopyStep	Step 복사	Copy Step
Pipeline.Menu.PasteStepAfter	복사한 Step 뒤에 붙여넣기	Paste Step After
Pipeline.Menu.DuplicateStep	Step 복제	Duplicate Step
Pipeline.Menu.DisableStep	Step 비활성	Disable Step
Pipeline.Menu.EnableStep	Step 활성	Enable Step
Pipeline.Menu.RemoveStep	Step 삭제	Remove Step
Pipeline.Menu.RunHistory	실행 이력	Run History
Pipeline.Menu.SampleImages	샘플 이미지	Sample Images
Pipeline.Menu.BatchTest	일괄 테스트	Batch Test
Pipeline.Menu.AiRecipe	AI Recipe...	AI Recipe...
Pipeline.Menu.OpenTutorial	튜토리얼 열기...	Open Tutorial...
Pipeline.Menu.ImportXml	XML 가져오기...	Import XML...
Pipeline.Menu.LoadSaved	저장된 Pipeline 열기...	Load Saved...
Pipeline.Menu.RecommendedFor	{0} 추천값	Recommended for {0}
Pipeline.Menu.NoPreset	이 Tool에 추천 Preset이 없습니다.	No preset for this tool
Pipeline.Tooltip.ToolType	다음에 추가할 Tool을 선택합니다. 입력/출력은 Add Step에서 확정합니다.	Choose the tool for the next step. Input and output are confirmed in Add Step.
Pipeline.Tooltip.DefaultInput	Add Step을 열 때 기본 입력으로 사용할 레이어입니다.	Default input used when Add Step opens.
Pipeline.Tooltip.DefaultOutput	Add Step을 열 때 제안할 출력 레이어입니다.	Default output suggestion used when Add Step opens.
Pipeline.Tooltip.Flow	Step을 클릭하면 입력, 출력, 파라미터, 미리보기를 확인합니다.	Click a step to inspect its input, output, parameters, and preview.
Pipeline.Tooltip.StepIo	선택 Step의 이미지 흐름입니다. Tool 파라미터를 조정하기 전에 INPUT/OUTPUT을 확인하십시오.	Selected step image flow. Change INPUT or OUTPUT here before editing tool parameters.
Pipeline.Tooltip.StepInputLayer	선택 Step에서 사용할 이미지 레이어입니다.	Image layer used by the selected step.
Pipeline.Tooltip.StepOutputLayer	선택 Step이 생성할 이미지 레이어입니다.	Image layer created by the selected step.
Pipeline.Tooltip.ChainInput	이전 활성 Step의 출력을 현재 Step 입력으로 연결합니다.	Use the previous enabled step's output as this step's input.
Pipeline.Tooltip.StepIoStatus	선택 Step이 원본에서 시작하는지, 이전 출력을 따르는지, 다른 레이어에서 분기하는지 표시합니다.	Shows whether the selected step starts from a source image, follows the previous output, or branches from another layer.
Pipeline.Tooltip.AddStep	Tool, Step 이름, 입력, 출력을 확인하고 Step을 추가합니다.	Open Add Step to confirm tool, step name, input, and output.
Pipeline.Tooltip.AiRecipe	AI Recipe에서 Pipeline Step을 생성합니다.	Create pipeline steps from an AI recipe.
Pipeline.Tooltip.PreviewMode	Summary는 전체 검출을 보고, Input/Output/Overlay는 선택 Step 기준으로 확인합니다.	Choose Summary for the full detection view, or Input/Output/Overlay for the selected step.
Pipeline.Tooltip.OverlayLabel	Overlay 라벨 표시 방식을 선택합니다.	Choose how overlay labels are drawn.
Pipeline.Tooltip.PointLimit	LineGauge/Edge처럼 점이 많은 Overlay의 표시 개수를 제한합니다.	Limit dense point overlays so LineGauge and edge views stay readable.
Pipeline.Tooltip.OverlayRoi	선택 Step의 ROI를 표시합니다. 전체 이미지 ROI는 숨깁니다.	Show the ROI configured on the selected step. Full-image ROI is hidden.
Pipeline.Tooltip.PreviewLabel	현재 미리보기 모드입니다. Pipeline Flow의 Step, IN, OUT을 클릭해 바꿀 수 있습니다.	Current preview mode. Click Step, IN, or OUT in Pipeline Flow to change it.
Pipeline.Tooltip.OpenPreview	확대 가능한 미리보기를 엽니다. 휠로 확대하고 드래그로 이동합니다.	Open a zoomable preview. Mouse wheel zooms, drag pans.
Pipeline.Tooltip.PreviewBox	더블클릭하면 확대 가능한 미리보기로 엽니다.	Double-click to open the zoomable preview.
Pipeline.Tooltip.TemplateBox	더블클릭하면 Template 이미지를 확대해서 확인합니다.	Double-click to inspect the template in the zoomable viewer.
Pipeline.Tooltip.DetectedBox	더블클릭하면 검출 Crop을 확대해서 확인합니다.	Double-click to inspect the detected crop in the zoomable viewer.
Pipeline.Tooltip.RunPreview	Run Preview는 이 창 안에서만 실행하며 메인 작업영역을 업데이트하지 않습니다.	Run Preview executes inside this window. The main workspace is not updated.
Pipeline.Tooltip.PublishResult	Summary 또는 선택 Step 결과를 메인 작업영역으로 반영합니다.	Publish Summary or the selected step result to the main workspace.
Pipeline.Tooltip.SaveProject	Pipeline XML, 작업 이미지, Step 미리보기 이미지를 저장합니다.	Save pipeline XML, workspace images, and step preview images.
Pipeline.Tooltip.PublishAll	선택/최신 결과만이 아니라 캐시된 모든 Step 출력을 반영합니다.	Publish every cached step output instead of only the selected or latest result.
Pipeline.Tooltip.WorkflowHint	Run Preview는 Pipeline 내부 검증이고, Publish Result만 메인 작업영역을 업데이트합니다.	Run Preview is sandboxed inside Pipeline. Publish Result is the explicit step that updates the main workspace.
Pipeline.Tooltip.SampleContext	Sample Catalog에서 연 샘플 이미지와 Recipe를 표시합니다.	Shows the sample image and recipe currently opened from Sample Catalog.
Pipeline.WorkflowHint	Preview 내부 확인 | Publish가 메인 반영	Preview stays here | Publish updates main
Pipeline.Hint.CheckFailed	검증 실패. 선택된 Step을 수정한 뒤 미리보기를 다시 실행하십시오.	Check failed. Fix the selected step before Run Preview.
Pipeline.Hint.CheckPassedSandbox	검증 완료. 미리보기는 메인 작업영역을 변경하지 않습니다.	Check passed. Run Preview will not update the main workspace.
Pipeline.Hint.CheckPassedReview	검증 완료. 미리보기 전에 선택 항목을 확인하십시오.	Check passed. Review the selected item before Run Preview.
Pipeline.Hint.PreviewRunningSandbox	미리보기 실행 중. 메인 작업영역은 변경되지 않습니다.	Preview is running. Main workspace is unchanged.
Pipeline.Hint.PreviewCanceled	미리보기가 취소되었습니다. 메인 작업영역은 변경되지 않았습니다.	Preview canceled. Main workspace was not changed.
Pipeline.Hint.PreviewFailed	미리보기 실패. 선택된 Step 상세를 확인하십시오.	Preview failed. Check the selected step details.
Pipeline.Hint.PreviewReadySummaryPublish	미리보기 완료. 요약은 전체 검출을 표시하며 결과 반영 시 메인 작업영역에 기록됩니다.	Preview ready. Summary shows all detections; Publish Result writes it to the main workspace.
Pipeline.Hint.PublishBlockedRunning	미리보기 실행 중에는 결과를 반영할 수 없습니다.	Cannot publish while Preview is running.
Pipeline.Hint.PublishRunPreviewFirst	결과 반영 전에 미리보기를 먼저 실행하십시오.	Run Preview before Publish Result.
Pipeline.Hint.PublishRunPreviewBeforeSummary	요약 결과 반영 전에 미리보기를 먼저 실행하십시오.	Run Preview before publishing Summary.
Pipeline.Hint.PublishNothing	반영된 출력이 없습니다. 각 출력 레이어를 확인하십시오.	Nothing was published. Check each output layer.
Pipeline.Hint.PublishCompleteFormat	결과 반영 완료. 메인 작업영역의 출력 레이어 {0}개가 갱신되었습니다.	Publish complete. {0} output layer(s) updated in the main workspace.
Pipeline.Hint.PublishLayerCompleteFormat	결과 반영 완료. '{0}' 레이어가 메인 작업영역에 갱신되었습니다.	Publish complete. '{0}' was updated in the main workspace.
Pipeline.Hint.PublishNoCachedResult	반영할 캐시 결과가 없습니다.	No cached result to publish.
Pipeline.Hint.ChainSelectPrevious	첫 번째 이후 Step을 선택한 뒤 이전 출력을 연결하십시오.	Select a step after the first one, then choose a previous output to chain.
Pipeline.Hint.ChainSelectedPreviousFormat	선택 Step 입력이 이전 출력으로 연결되었습니다: {0}	Selected step now uses previous output: {0}
Pipeline.Hint.StepIoChanged	Step 입출력이 변경되었습니다. 미리보기를 다시 실행하십시오.	Step I/O changed. Run Preview again.
Pipeline.Hint.ViewTemplateMissing	Template 이미지가 없습니다.	Template image is not available.
Pipeline.Hint.ViewDetectedCropMissing	검출 Crop이 없습니다. 미리보기를 먼저 실행하십시오.	Detected crop is not available. Run Preview first.
Pipeline.Hint.ViewSummaryMissing	요약 미리보기 이미지가 없습니다. 미리보기를 먼저 실행하십시오.	Summary has no preview image. Run Preview first.
Pipeline.Hint.MetricsMissing	Metric이 없습니다. 미리보기를 먼저 실행하십시오.	No metrics are available. Run Preview first.
Pipeline.Message.CheckPassedSandbox	검증이 완료되었습니다.\r\n\r\n미리보기는 Pipeline 창 안에서만 실행됩니다. 결과 반영만 메인 작업영역을 업데이트합니다.	Check passed.\r\n\r\nRun Preview executes inside the Pipeline window. Publish Result updates the main workspace.
Pipeline.Message.CheckPassedWithWarnings	검증은 통과했지만 확인이 필요합니다.\r\n\r\n{0}\r\n\r\n미리보기는 이 창 안에 유지됩니다. 결과 반영만 메인 작업영역을 업데이트합니다.	Check passed, but review is recommended.\r\n\r\n{0}\r\n\r\nRun Preview stays in this window. Publish Result updates the main workspace.
Pipeline.Message.PublishRunPreviewFirst	먼저 미리보기를 실행한 뒤 결과 반영으로 메인 작업영역의 출력 레이어를 업데이트하십시오.	Run Preview first, then Publish Result to update the output layer in the main workspace.
Pipeline.Message.PublishRunPreviewBeforeSummary	먼저 미리보기를 실행한 뒤 요약 결과를 반영하십시오.	Run Preview first, then publish the Summary result.
Pipeline.Message.PublishNothing	반영할 수 있는 출력 레이어가 없습니다. 각 Step의 출력 레이어를 확인하십시오.	No output layer could be published. Check each step output layer.
Pipeline.SummaryBadgeFormat	요약 | Step {0} | Overlay {1}	SUMMARY | Steps {0} | Overlays {1}
Pipeline.SelectStep	Step 선택	Select a step
Pipeline.Summary	요약	Summary
Pipeline.AllDetections	전체 검출	All detections
Pipeline.NoStepSelected	선택된 Step 없음	No step selected
Pipeline.SelectStepPreview	결과를 보려면 Pipeline Step을 선택하십시오.	Select a pipeline step to view its result.
Pipeline.AllDetectionsPlaceholder	검출된 모든 Overlay가 하나의 이미지에 표시됩니다.	All detected overlays will be shown here on one image.
Pipeline.LinkedInputStatus	연결 입력: 이 Step은 이전 출력 '{0}'을 사용합니다.	Linked input: this step uses previous output '{0}'.
Pipeline.SourceInputStatus	원본 입력: 이 Step은 '{0}'에서 시작합니다.	Source input: this step starts from '{0}'.
Pipeline.Branch	분기	BRANCH
Pipeline.BranchFrom	분기: {0}	BRANCH from {0}
Pipeline.FlowDisabledStep	비활성 Step	Disabled step
Pipeline.FlowInputSource	입력: 원본 이미지 {0}	Input: source image {0}
Pipeline.FlowInputPrevious	입력: 이전 출력 {0}	Input: previous output {0}
Pipeline.FlowBranchMain	분기: Main을 읽고 있습니다. 의도하지 않았다면 이전 출력 {0}을 연결하십시오.	Branch: reads Main instead of {0}. Link Prev if this is not intentional.
Pipeline.FlowBranch	분기: {1} 대신 {0}을 읽고 있습니다.	Branch: reads {0} instead of {1}
Pipeline.InputSource.SourceLayer	원본 {0}에서 시작	Starts from source {0}
Pipeline.InputSource.PreviousOutput	이전 출력 {0} 사용	Uses previous output {0}
Pipeline.InputSource.BranchMain	Main 분기. 이전 출력은 {0}	Main branch. Previous output is {0}
Pipeline.InputSource.BranchLayer	{0} 분기. 이전 출력은 {1}	Branch from {0}. Previous output is {1}
Pipeline.OutputResult.MissingLayer	출력 레이어가 지정되지 않았습니다.	Output layer is not set.
Pipeline.OutputResult.CreatesLayer	{0} 생성/갱신 | {1}	Creates/updates {0} | {1}
Pipeline.StepInputSource.SourceLayer	원본 {0} 시작	Source {0}
Pipeline.StepInputSource.PreviousOutput	이전 출력 {0} 사용	Prev output {0}
Pipeline.StepInputSource.BranchMain	Main 분기 | 이전 출력 {0}	Main branch | Prev output {0}
Pipeline.StepInputSource.BranchLayer	{0} 분기 | 이전 출력 {1}	Branch {0} | Prev output {1}
Pipeline.StepOutputResult.MissingLayer	출력 레이어 미설정	Output layer missing
Pipeline.StepOutputResult.CreatesLayer	{0} 생성/갱신 | {1}	{0} created/updated | {1}
PipelineFlow.NoSteps	Pipeline Step 없음	No pipeline steps
PipelineFlow.Input	입력	INPUT
PipelineFlow.Output	출력	OUTPUT
PipelineFlow.BranchInput	분기 입력	BRANCH IN
PipelineFlow.SourceImage	원본 이미지	SOURCE IMG
PipelineFlow.PreviousOutput	이전 출력	PREV OUT
PipelineFlow.Branch	분기	BRANCH
PipelineFlow.RunPreviewRequired	미리보기 필요	Run Preview required
PipelineFlow.ViewInputImage	입력 이미지 보기	View input image
PipelineFlow.ViewOutputImage	출력 이미지 보기	View output image
PipelineFlow.LayerTooltip	{0}: {1} - 클릭하면 이 이미지를 확인합니다.	{0}: {1} - click to inspect this image
PipelineFlow.BranchInputTooltip	분기 입력입니다. 이 Step은 이전 출력 {1} 대신 {0}을 읽습니다.	Branch input. This step reads {0} instead of previous output {1}.
PipelineFlow.OverlayTooltip	클릭하면 Overlay 미리보기를 확인합니다.	Click to inspect overlay preview
PipelineFlow.BranchStepTooltip	분기 Step입니다. 이 Step은 이전 출력 '{1}' 대신 '{0}'을 읽습니다. 의도하지 않았다면 이전 출력 연결을 사용하십시오.	Branch step. This step reads '{0}' instead of previous output '{1}'. Use Link Prev if this was not intentional.
Threshold.Title	Threshold	Threshold
Threshold.Mode	모드	Mode
Threshold.ModeBasic	일반	Basic
Threshold.ModeRange	범위	Range
Threshold.ModeAdaptive	Adaptive	Adaptive
Threshold.Binary	Binary	Binary
Threshold.BinaryInv	Inv	Inv
Threshold.MeanC	MeanC	MeanC
Threshold.GaussianC	GaussianC	GaussianC
Threshold.InputSource	입력 레이어	Input Source
Threshold.OutputResult	출력 레이어	Output Result
Threshold.ResultType	결과 타입	Result type
Threshold.Method	계산 방식	Method
Threshold.MaxValue	최대값	Max value
Threshold.BlockSize	Block size	Block size
Threshold.Weight	Weight	Weight
Threshold.BasicTitle	일반 Threshold	Basic Threshold
Threshold.BasicHint	단일 기준값	Single cutoff
Threshold.RangeTitle	범위 Threshold	Range Threshold
Threshold.RangeHint	Min-Max 범위	Keep Min-Max
Threshold.AdaptiveTitle	Adaptive Threshold	Adaptive Threshold
Threshold.AdaptiveHint	로컬 밝기	Local brightness
Threshold.RangeMin	하한값	Min
Threshold.RangeMax	상한값	Max
Threshold.Invert	반전	Invert
Threshold.OutputPreview	{0} (Preview)	{0} (Preview)
Threshold.PreviewTitle	미리보기 - {0}	Preview - {0}
Threshold.FlowSame	Input/Output {0}	Input/Output {0}
Threshold.Flow	Input {0} -> Output {1}	Input {0} -> Output {1}
Threshold.AddStep	+ {0} Step 추가	+ Add {0} Step
Threshold.BasicPurpose	하나의 기준값으로 전경과 배경을 분리합니다.	uses one cutoff, useful for clear foreground/background contrast.
Threshold.RangePurpose	Min-Max 밝기 범위 안의 픽셀만 유지합니다.	keeps only pixels inside the Min-Max brightness band.
Threshold.AdaptivePurpose	영역별 밝기를 기준으로 계산하며 조명 편차가 있을 때 사용합니다.	uses local brightness, useful for uneven lighting.
Threshold.Tooltip.InputLayer	Threshold 미리보기에 사용할 입력 레이어입니다.	Input layer used for Threshold preview.
Threshold.Tooltip.OutputLayer	미리보기 결과는 Threshold 레이어에 기록됩니다.	Preview result is written to the Threshold layer.
Threshold.Tooltip.BasicResultType	일반 Threshold의 결과 타입입니다.	Result type for Basic Threshold.
Threshold.Tooltip.BasicValue	일반 Threshold의 기준값입니다.	Threshold value for Basic Threshold.
Threshold.Tooltip.Range	범위 Threshold의 Min, Max, Invert 설정입니다.	Min, max, and invert option for Range Threshold.
Threshold.Tooltip.AdaptiveResultType	Adaptive Threshold의 결과 타입입니다.	Result type for Adaptive Threshold.
Threshold.Tooltip.AdaptiveMethod	Adaptive 계산 방식입니다.	Adaptive calculation method.
